query,network_distribution,runtime
q3-v1.4,C,10.368194235999999
q3-v1.4,C,9.989766627000002
q3-v1.4,C,10.176787319999997
q3-v1.4,C,10.888342909
q3-v1.4,C,11.267788523
q3-v1.4,C,13.625621892000002
q3-v1.4,C,16.693842931
q3-v1.4,C,9.871390920999998
q3-v1.4,C,9.861319579000002
q3-v1.4,C,10.826831935000001
q3-v1.4,C,10.310509973
q3-v1.4,C,10.443617920000001
q3-v1.4,C,12.865411591
q3-v1.4,C,11.126187162
q3-v1.4,C,11.216777507000002
q3-v1.4,C,9.613949367
q3-v1.4,C,11.535690215999999
q3-v1.4,C,10.413732873999999
q3-v1.4,C,17.402093685
q3-v1.4,C,11.489356464
q3-v1.4,C,10.044142291
q3-v1.4,C,10.965548018
q3-v1.4,C,10.177400439
q3-v1.4,C,13.686106157000001
q3-v1.4,C,11.156241549
q3-v1.4,C,10.27066659
q3-v1.4,C,12.456769679999999
q3-v1.4,C,13.690977764
q3-v1.4,C,10.790357954000001
q3-v1.4,C,9.227713212000001
q3-v1.4,C,12.545279567000001
q3-v1.4,C,11.505214491
q3-v1.4,C,10.666764438
q3-v1.4,C,9.270922919
q3-v1.4,C,11.541072907999999
q3-v1.4,C,13.7206196
q3-v1.4,C,10.142111606
q3-v1.4,C,9.902751560999999
q3-v1.4,C,9.580090495
q3-v1.4,C,11.666141506999999
q3-v1.4,C,10.30551866
q3-v1.4,C,12.679991364999998
q3-v1.4,C,11.427331434999997
q3-v1.4,C,10.105426954
q3-v1.4,C,10.220313743999998
q3-v1.4,D,54.269355645999994
q3-v1.4,D,62.232025300000004
q3-v1.4,D,50.25432612600001
q3-v1.4,D,51.82955435699999
q3-v1.4,D,52.011905733
q3-v1.4,D,47.27772327900001
q3-v1.4,D,45.01983688600001
q3-v1.4,D,52.21506973899999
q3-v1.4,D,53.907480427
q3-v1.4,D,55.867620351
q3-v1.4,D,49.297964502
q3-v1.4,D,46.032730384000004
q3-v1.4,D,46.80294349599999
q3-v1.4,D,58.358636566
q3-v1.4,D,50.86201108800001
q3-v1.4,D,55.179351661999995
q3-v1.4,D,49.84547535099999
q3-v1.4,D,52.893648139
q3-v1.4,D,55.08030053
q3-v1.4,D,54.272846202
q3-v1.4,D,47.690880404000005
q3-v1.4,D,58.469254633000006
q3-v1.4,D,52.818088517
q3-v1.4,D,48.522778922
q3-v1.4,D,64.231470075
q3-v1.4,D,57.949951536
q3-v1.4,D,51.946967278
q3-v1.4,D,55.62684202200001
q3-v1.4,D,51.284325347000006
q3-v1.4,D,54.606071201
q3-v1.4,D,50.351920585
q3-v1.4,D,62.69554336699999
q3-v1.4,D,50.445300147000005
q3-v1.4,D,51.947167386000004
q3-v1.4,D,57.84305187799999
q3-v1.4,D,50.029623494999996
q3-v1.4,D,52.742430201999994
q3-v1.4,D,50.36918038
q3-v1.4,D,52.16306488000001
q3-v1.4,D,53.035520828
q3-v1.4,D,52.682371092
q3-v1.4,D,48.59369893299999
q3-v1.4,D,45.898754736
q3-v1.4,D,53.046696828
q3-v1.4,D,53.47178703499999
q3-v1.4,D,56.61933165000001
q3-v1.4,D,45.462112323
q3-v1.4,D,55.595558722999996
q3-v1.4,D,56.595231150000004
q3-v1.4,D,48.46211075
q3-v1.4,E,18.313575235000002
q3-v1.4,E,10.927970333000001
q3-v1.4,E,10.403765923000002
q3-v1.4,E,9.556424246
q3-v1.4,E,10.358619059
q3-v1.4,E,10.614601254000002
q3-v1.4,E,10.397407248999999
q3-v1.4,E,10.687752066000002
q3-v1.4,E,10.616766113
q3-v1.4,E,10.676324733
q3-v1.4,E,10.157654885
q3-v1.4,E,10.09207037
q3-v1.4,E,10.519124858000001
q3-v1.4,E,10.114086333000001
q3-v1.4,E,11.36168412
q3-v1.4,E,10.00458559
q3-v1.4,E,10.086430407000002
q3-v1.4,E,9.876229527
q3-v1.4,E,10.33203462
q3-v1.4,E,10.308457673000001
q3-v1.4,E,10.234553779
q3-v1.4,E,10.147975121999998
q3-v1.4,E,9.495340988000002
q3-v1.4,E,10.062769704
q3-v1.4,E,10.214309599999998
q3-v1.4,E,11.328167874999998
q3-v1.4,E,9.973972658000001
q3-v1.4,E,10.078660108
q3-v1.4,E,10.515154480000001
q3-v1.4,E,10.264827739
q3-v1.4,E,10.32528263
q3-v1.4,E,11.788819014
q3-v1.4,E,9.355232707
q3-v1.4,E,10.744448173999999
q3-v1.4,E,10.297893225999998
q3-v1.4,E,11.740144515
q3-v1.4,E,9.596430789
q3-v1.4,E,10.161496243000002
q3-v1.4,E,10.062614067
q3-v1.4,E,9.938501668
q3-v1.4,E,16.253972227000002
q3-v1.4,E,10.748218562
q3-v1.4,E,10.418745331000002
q3-v1.4,E,9.581637424
q3-v1.4,E,9.664589898
q3-v1.4,E,10.103055107
q3-v1.4,E,13.065107810000002
q3-v1.4,E,10.746667672999997
q3-v1.4,E,10.107801901999999
q3-v1.4,E,10.857511386
q3-v1.4,F,22.828209815000005
q3-v1.4,F,16.754833832000003
q3-v1.4,F,31.291694878
q3-v1.4,F,13.973718326
q3-v1.4,F,14.230507163
q3-v1.4,F,15.662160614000001
q3-v1.4,F,12.235446869999999
q3-v1.4,F,15.657586902
q3-v1.4,F,16.801276627
q3-v1.4,F,16.954279458000002
q3-v1.4,F,12.561807608
q3-v1.4,F,14.640626682999999
q3-v1.4,F,11.840727167999999
q3-v1.4,F,16.198582188
q3-v1.4,F,14.597645995
q3-v1.4,F,12.911344497
q3-v1.4,F,19.797484326999996
q3-v1.4,F,14.718407323
q3-v1.4,F,12.976582776
q3-v1.4,F,19.460566369000002
q3-v1.4,F,15.061888977999999
q3-v1.4,F,21.256384437999998
q3-v1.4,F,13.793088049
q3-v1.4,F,14.516725018
q3-v1.4,F,16.158318904
q3-v1.4,F,14.246990958
q3-v1.4,F,13.59390634
q3-v1.4,F,14.191945012999998
q3-v1.4,F,17.3846459
q3-v1.4,F,22.765089743000004
q3-v1.4,F,17.865676029
q3-v1.4,F,14.155431538
q3-v1.4,F,14.34855979
q3-v1.4,F,15.719240227999999
q3-v1.4,F,15.968147143999998
q3-v1.4,F,13.822456965999997
q3-v1.4,F,15.411703854999999
q3-v1.4,F,12.830574462
q3-v1.4,F,16.517891121
q3-v1.4,F,17.153837131
q3-v1.4,F,15.187200952000001
q3-v1.4,F,11.503968182000001
q3-v1.4,F,14.463663967
q3-v1.4,F,12.027894153
q3-v1.4,F,17.610724081999997
q3-v1.4,F,16.544299058999997
q3-v1.4,F,13.646903119
q3-v1.4,F,14.304221654
q3-v1.4,F,16.300154707
q3-v1.4,F,13.505152564999998
q3-v1.4,G,24.531216029
q3-v1.4,G,17.462912233
q3-v1.4,G,15.433919861
q3-v1.4,G,22.578689991
q3-v1.4,G,23.850470769000005
q3-v1.4,G,14.237435424999997
q3-v1.4,G,17.786115047000003
q3-v1.4,G,16.629187161999997
q3-v1.4,G,16.735369869
q3-v1.4,G,17.849783435000003
q3-v1.4,G,15.583929781999998
q3-v1.4,G,17.720365628999996
q3-v1.4,G,16.510793261000003
q3-v1.4,G,18.486678743
q3-v1.4,G,19.521155575000005
q3-v1.4,G,17.238141325999997
q3-v1.4,G,15.643602674000002
q3-v1.4,G,19.168812774000003
q3-v1.4,G,19.035329286999996
q3-v1.4,G,18.178375070999998
q3-v1.4,G,16.881554228
q3-v1.4,G,15.964453352
q3-v1.4,G,14.241959466
q3-v1.4,G,15.249361446000002
q3-v1.4,G,15.785686180999999
q3-v1.4,G,17.428067695000003
q3-v1.4,G,16.201803265
q3-v1.4,G,21.066149084
q3-v1.4,G,18.279888594
q3-v1.4,G,17.04011972
q3-v1.4,G,15.909909992000001
q3-v1.4,G,17.936276005
q3-v1.4,G,16.996107833000003
q3-v1.4,G,18.395481003999997
q3-v1.4,G,15.970384932
q3-v1.4,G,16.828240235
q3-v1.4,G,15.21685651
q3-v1.4,G,16.997869618
q3-v1.4,G,16.217893347
q3-v1.4,G,17.624521241
q3-v1.4,G,16.727255481999997
q3-v1.4,G,16.960461313
q3-v1.4,G,15.255088872
q3-v1.4,G,17.089494769000005
q3-v1.4,G,15.121716053000002
q3-v1.4,G,18.592639282
q3-v1.4,G,25.699338438999998
q3-v1.4,G,20.699192342
q3-v1.4,G,20.410523046999998
q3-v1.4,G,16.258264626000003
q3-v1.4,H,29.495919559999997
q3-v1.4,H,22.678711015
q3-v1.4,H,17.528063807000002
q3-v1.4,H,24.10648124
q3-v1.4,H,34.759443293000004
q3-v1.4,H,21.407065782
q3-v1.4,H,25.620987000000003
q3-v1.4,H,17.513147579000005
q3-v1.4,H,20.846090568
q3-v1.4,H,19.637075685
q3-v1.4,H,21.650042721000002
q3-v1.4,H,43.834771493000005
q3-v1.4,H,23.513537099999997
q3-v1.4,H,25.733095858000002
q3-v1.4,H,20.742894276999998
q3-v1.4,H,28.363582411
q3-v1.4,H,24.099888782
q3-v1.4,H,20.148288683
q3-v1.4,H,27.060539646000002
q3-v1.4,H,18.830377629
q3-v1.4,H,24.346580422000002
q3-v1.4,H,24.971051899000003
q3-v1.4,H,28.266745149000002
q3-v1.4,H,22.251089324
q3-v1.4,H,31.238016896999998
q3-v1.4,H,30.470935670000003
q3-v1.4,H,17.681276247000003
q3-v1.4,H,22.503260027
q3-v1.4,H,19.906084765
q3-v1.4,H,18.082030045
q3-v1.4,H,17.986226082
q3-v1.4,H,22.734822268
q3-v1.4,H,22.457068746
q3-v1.4,H,25.270099872000003
q3-v1.4,H,20.208256973000005
q3-v1.4,H,18.939150332999997
q3-v1.4,H,14.748268894
q3-v1.4,H,21.665685460000006
q3-v1.4,H,22.658488244999997
q3-v1.4,H,21.052159086
q3-v1.4,H,19.291395329
q3-v1.4,H,20.280620392999996
q3-v1.4,H,18.446233879
q3-v1.4,H,22.810699866000004
q3-v1.4,H,18.112788545
q3-v1.4,H,19.506490016
q3-v1.4,H,21.194804904
q3-v1.4,H,20.233715059999998
